Date,TEAM,TITLE,Description,Themes,Learned,Insights,Recommendations,Quotes,Methodology
01/09/2022,UR Team,Find Business Support Survey - Cost of Doing Business,Localised survey on costs of doing business,Filters;Scent Trail;Energy;Low Carbon;Net Zero,"Significant number of people are seeing large cost increases for energy. 

Supply and Transport costs are also going up but hitting a plateau that is not being experienced in energy costs. 
Businesses are both, Absorbing Costs & Raising Prices to cover expenses at the same time. 
There is also widespread pay freezing happening

They are trying to save energy and become more efficient. They are also looking for government support. 

There is no widespread belief that the UK Government?s Energy Bill Relief Scheme, will give them all the help they need. ","Significant number of people are seeing large cost increases for energy. 

Companies try to implement multiple strategies at the same time during crisis. 

Government support can often be seen as Too Late",,,Survey Monkey
30/06/2022,UR Team,Scottish Business Support Survey,A general survey about what people look for in the business support area,Expectations,"Important that advice can be accessed in a number of ways including in person and digital

Its not perceived to be critical that support can be accessed at all times of the day and night 

","Important that advice can be accessed in a number of ways including in person and digital

It' not perceived to be critical that support can be accessed at all times of the day and night ","Ensure that in person routes still exist
",,Survey Monkey
01/03/2022,UR Team,FBS Similar Items March 2022,Discovery work to understand ?similar items? functionality,Benefits;Content;Expectations;Filters;Language;Nav;Scent Trail;Wireframe;layout,"All users were easily able to use the different filters and successfully complete the task
-They were happy with the ease with which they were able to narrow down the results
-Once the results were displayed majority were happy with the look and feel of the results page
-However, users highlighted the difficulty in getting relevant search results while using multiple filters and at times the results would not narrow down. (refer to slide 6 for details)
-Majority 7 out of 10 users would welcome ?you may also be interested in? functionality
-Majority users were happy with the placement of the ?related content? section on the prototype",,,Could be applied if someone has very specific search criteria with few results appearing. I believe that this will be a helpful tool / functionality because it provides further assistance which could be handy.,Unmoderated Testing
20/10/2021,UR Team,Test FBS Filters Prototype,Test FBS Filters Prototype,IA;UX;Wireframe,Filters appaear to be working quite well,,Repeat research Quarterly,,Unmoderated Testing
28/09/2021,UR Team,Test FBS Filters Prototype V4,Test FBS Filters Prototype V4,Filters;IA;UX;Wireframe,Filters appaear to be working quite well,Filters appaear to be working quite well,Repeat research Quarterly,,Unmoderated Testing
20/08/2021,UR Team,Test FBS Filters Prototype V2,Test FBS Filters Prototype V2,Filters;IA;UX;Wireframe,Filters need more work done on them. There is overlap and areas of confusion,Filters need more work done on them. There is overlap and areas of confusion,Repeat research Quarterly,,Unmoderated Testing
20/08/2021,UR Team,Test FBS Filters Prototype V3,Test FBS Filters Prototype V3,Filters;IA;UX;Wireframe,Filters need more work done on them. There is overlap and areas of confusion,Filters need more work done on them. There is overlap and areas of confusion,Repeat research Quarterly,,Unmoderated Testing
20/08/2021,UR Team,Test FBS Filters Prototype V2.1,Test FBS Filters Prototype V2.1,Filters;IA;UX;Wireframe,Filters need more work done on them. There is overlap and areas of confusion,Filters need more work done on them. There is overlap and areas of confusion,Repeat research Quarterly,,Unmoderated Testing
30/07/2021,UR Team,Test FBS Filters Prototype (1st Run),Test FBS Filters Prototype (1st Run),Filters;IA;UX;Wireframe,Filters need more work done on them. There is overlap and areas of confusion,Filters need more work done on them. There is overlap and areas of confusion,Repeat research Quarterly,,Unmoderated Testing
30/07/2021,UR Team,Test FBS Filters Prototype V2.1,Test FBS Filters Prototype V2.1,Filters;IA;UX;Wireframe,Filters need more work done on them. There is overlap and areas of confusion,Filters need more work done on them. There is overlap and areas of confusion,Repeat research Quarterly,,Unmoderated Testing
17/06/2021,UR Team,Test FBS Filters Prototype NetZero V1,Test FBS Filters Prototype NetZero V1,Filters;IA;Net Zero;UX;Wireframe,Filters need more work done on them. There is overlap and areas of confusion,"Filters are a never ending source of frustration and opportunity. 

They need to fit users Mental Models in order to work or even be seen.",Repeat research Quarterly,,Unmoderated Testing
17/06/2021,UR Team,Test FBS Filters Prototype NetZero V3,Test FBS Filters Prototype NetZero V3,Filters;IA;Net Zero;UX;Wireframe,Filters need more work done on them. There is overlap and areas of confusion,,Repeat research Quarterly,,Unmoderated Testing
17/06/2021,UR Team,Test FBS Filters Prototype NetZero V2,Test FBS Filters Prototype NetZero V2,Filters;IA;Net Zero;UX;Wireframe,Filters need more work done on them. There is overlap and areas of confusion,,Repeat research Quarterly,,Unmoderated Testing
11/05/2021,UR Team,Changes on the About Us page :: Content,Changes on the About Us page :: Content,Language,"Needed to add sections on
the purpose of the site
- how it can help businesses
- why it was created
- who runs it
- site usage, visitors and newsletter subscribers",,,,Unmoderated Testing
28/04/2021,UR Team,Changes on the Covid page :: Analytics,Changes on the Covid page :: Analytics,,"What we decided based on this:
The buttons are at the best place (high on the page) so they are unlikely to get better use elsewhere on the page so we removed them

Latest updates has been moved up",,,,
17/03/2021,UR Team,Operate after Brexit :: Lab Testing,Operate after Brexit :: Lab Testing,,"People like that there is a link to FAQs but they want more detail (which you can get on http://se.com/)
- No one commented on the Funding/Events buttons ? they aren?t getting down far enough on the page
- People like the http://se.com/ Brexit pages in terms of the content, style and layout but are less keen on FBS
- A few people mentioned that they would expect to see a list of sectors in the ?Advice for specific sectors? accordion
- Someone also suggested adding more information about the funding support to that accordion section
- Everyone expects there to be a search bar
- There?s some confusion around the Brexit filter on the homepage
only linking to a page with three items, instead of the whole Brexit
page",,,,Unmoderated Testing
